bank_file,question_id,skill_id,domain_code,question,answer_mode,difficulty,notes
"6","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"7","Q15","R1.T2.A2","WU001","How many syllables does the word 'window' have?","choice","1",""
"7","Q16","R1.T3.A2","WU002","Say 'trip' without the /r/ sound. What word do you get?","choice","2",""
"7","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'gnat'?","choice","2",""
"7","Q18","R4.T1.A2","WU004","What did Lily do FIRST?","choice","3",""
"7","Q19","R4.T2.A2","WU005","What does the word 'hushed' mean in this sentence?","choice","4",""
"7","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"7","Q21","R4.T3.A2","WU007","What caused the flooding?","choice","4",""
"7","Q22","R5.T2.A1","WU008","What does the word 'prioritise' mean in this context?","choice","5",""
"7","Q23","R5.T1.A2","WU009","What is the author's main purpose?","choice","4",""
"7","Q24","R2.T1.A3","WU010","Which spelling is correct for /r/-/u/-/n/?","choice","2",""
"7","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"8","Q15","R1.T2.A2","WU001","How many syllables does the word 'computer' have?","choice","1",""
"8","Q16","R1.T3.A2","WU002","Say 'skip' without the /k/ sound. What word do you get?","choice","2",""
"8","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'whale'?","choice","2",""
"8","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"8","Q19","R4.T2.A2","WU005","What does the word 'severe' mean in this sentence?","choice","4",""
"8","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"8","Q21","R4.T3.A2","WU007","Why did she wear her coat?","choice","4",""
"8","Q22","R5.T2.A1","WU008","What does the word 'stimulate' mean in this context?","choice","5",""
"8","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"8","Q24","R2.T1.A3","WU010","Which spelling is correct for /s/-/u/-/n/?","choice","2",""
"8","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"9","Q15","R1.T2.A2","WU001","How many syllables does the word 'dog' have?","choice","1",""
"9","Q16","R1.T3.A2","WU002","Say 'blend' without the /l/ sound. What word do you get?","choice","2",""
"9","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'tree'?","choice","2",""
"9","Q18","R4.T1.A2","WU004","What happened AFTER the sky turned pink?","choice","3",""
"9","Q19","R4.T2.A2","WU005","What does the word 'reluctant' mean in this sentence?","choice","4",""
"9","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"9","Q21","R4.T3.A2","WU007","What caused the glass to shatter?","choice","4",""
"9","Q22","R5.T2.A1","WU008","What does the word 'contradict' mean in this context?","choice","5",""
"9","Q23","R5.T1.A2","WU009","What does the author believe?","choice","4",""
"9","Q24","R2.T1.A3","WU010","Which spelling is correct for /t/-/i/-/n/?","choice","2",""
"9","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"10","Q15","R1.T2.A2","WU001","How many syllables does the word 'garden' have?","choice","1",""
"10","Q16","R1.T3.A2","WU002","Say 'spin' without the /p/ sound. What word do you get?","choice","2",""
"10","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'frog'?","choice","2",""
"10","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"10","Q19","R4.T2.A2","WU005","What does the word 'treacherous' mean in this sentence?","choice","4",""
"10","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"10","Q21","R4.T3.A2","WU007","Why did Tom miss the bus?","choice","4",""
"10","Q22","R5.T2.A1","WU008","What does the word 'convey' mean in this context?","choice","5",""
"10","Q23","R5.T1.A2","WU009","What is the purpose of this text?","choice","4",""
"10","Q24","R2.T1.A3","WU010","Which spelling is correct for /m/-/a/-/p/?","choice","2",""
"10","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"11","Q15","R1.T2.A2","WU001","How many syllables does the word 'watermelon' have?","choice","1",""
"11","Q16","R1.T3.A2","WU002","Say 'crop' without the /r/ sound. What word do you get?","choice","2",""
"11","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'blue'?","choice","2",""
"11","Q18","R4.T1.A2","WU004","What did Jack do AFTER finding the letter?","choice","3",""
"11","Q19","R4.T2.A2","WU005","What does the word 'mischievous' mean in this sentence?","choice","4",""
"11","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"11","Q21","R4.T3.A2","WU007","Why did the lights go out?","choice","4",""
"11","Q22","R5.T2.A1","WU008","What does the word 'accommodate' mean in this context?","choice","5",""
"11","Q23","R5.T1.A2","WU009","What does the author want parents to do?","choice","4",""
"11","Q24","R2.T1.A3","WU010","Which spelling is correct for /b/-/e/-/d/?","choice","2",""
"11","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"12","Q15","R1.T2.A2","WU001","How many syllables does the word 'yellow' have?","choice","1",""
"12","Q16","R1.T3.A2","WU002","Say 'flan' without the /l/ sound. What word do you get?","choice","2",""
"12","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'snap'?","choice","2",""
"12","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"12","Q19","R4.T2.A2","WU005","What does the word 'chaos' mean in this sentence?","choice","4",""
"12","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"12","Q21","R4.T3.A2","WU007","What helped her feel better?","choice","4",""
"12","Q22","R5.T2.A1","WU008","What does the word 'fundamental' mean in this context?","choice","5",""
"12","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"12","Q24","R2.T1.A3","WU010","Which spelling is correct for /l/-/e/-/g/?","choice","2",""
"12","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"13","Q15","R1.T2.A2","WU001","How many syllables does the word 'pen' have?","choice","1",""
"13","Q16","R1.T3.A2","WU002","Say 'skit' without the /k/ sound. What word do you get?","choice","2",""
"13","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'glue'?","choice","2",""
"13","Q18","R4.T1.A2","WU004","What did Ava do FIRST?","choice","3",""
"13","Q19","R4.T2.A2","WU005","What does the word 'vivid' mean in this sentence?","choice","4",""
"13","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"13","Q21","R4.T3.A2","WU007","Why did the bread burn?","choice","4",""
"13","Q22","R5.T2.A1","WU008","What does the word 'undermine' mean in this context?","choice","5",""
"13","Q23","R5.T1.A2","WU009","What does the author want readers to do?","choice","4",""
"13","Q24","R2.T1.A3","WU010","Which spelling is correct for /j/-/a/-/m/?","choice","2",""
"13","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"14","Q15","R1.T2.A2","WU001","How many syllables does the word 'tiger' have?","choice","1",""
"14","Q16","R1.T3.A2","WU002","Say 'plug' without the /l/ sound. What word do you get?","choice","2",""
"14","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'prize'?","choice","2",""
"14","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"14","Q19","R4.T2.A2","WU005","What does the word 'baffled' mean in this sentence?","choice","4",""
"14","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"14","Q21","R4.T3.A2","WU007","What helped the team win the trophy?","choice","4",""
"14","Q22","R5.T2.A1","WU008","What does the word 'vulnerable' mean in this context?","choice","5",""
"14","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"14","Q24","R2.T1.A3","WU010","Which spelling is correct for /n/-/e/-/t/?","choice","2",""
"14","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"15","Q15","R1.T2.A2","WU001","How many syllables does the word 'important' have?","choice","1",""
"15","Q16","R1.T3.A2","WU002","Say 'grab' without the /r/ sound. What word do you get?","choice","2",""
"15","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'through'?","choice","2",""
"15","Q18","R4.T1.A2","WU004","What did the bird do BEFORE flying back to the tree?","choice","3",""
"15","Q19","R4.T2.A2","WU005","What does the word 'endure' mean in this sentence?","choice","4",""
"15","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"15","Q21","R4.T3.A2","WU007","What caused the window to break?","choice","4",""
"15","Q22","R5.T2.A1","WU008","What does the word 'empower' mean in this context?","choice","5",""
"15","Q23","R5.T1.A2","WU009","What does the author most want readers to do?","choice","4",""
"15","Q24","R2.T1.A3","WU010","Which spelling is correct for /w/-/e/-/b/?","choice","2",""
"15","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"16","Q15","R1.T2.A2","WU001","How many syllables does the word 'rain' have?","choice","1",""
"16","Q16","R1.T3.A2","WU002","Say 'clap' without the /l/ sound. What word do you get?","choice","2",""
"16","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'spray'?","choice","2",""
"16","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"16","Q19","R4.T2.A2","WU005","What does the word 'wobbled' mean in this sentence?","choice","4",""
"16","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"16","Q21","R4.T3.A2","WU007","Why was she cold?","choice","4",""
"16","Q22","R5.T2.A1","WU008","What does the word 'address' mean in this context?","choice","5",""
"16","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"16","Q24","R2.T1.A3","WU010","Which spelling is correct for /t/-/o/-/p/?","choice","2",""
"16","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"17","Q15","R1.T2.A2","WU001","How many syllables does the word 'adventure' have?","choice","1",""
"17","Q16","R1.T3.A2","WU002","Say 'drip' without the /r/ sound. What word do you get?","choice","2",""
"17","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'string'?","choice","2",""
"17","Q18","R4.T1.A2","WU004","What did Ben do LAST?","choice","3",""
"17","Q19","R4.T2.A2","WU005","What does the word 'fresh' mean in this sentence?","choice","4",""
"17","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"17","Q21","R4.T3.A2","WU007","Why did the cake fall flat?","choice","4",""
"17","Q22","R5.T2.A1","WU008","What does the word 'inconclusive' mean in this context?","choice","5",""
"17","Q23","R5.T1.A2","WU009","What does the author want social media companies to do?","choice","4",""
"17","Q24","R2.T1.A3","WU010","Which spelling is correct for /k/-/u/-/p/?","choice","2",""
"17","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"18","Q15","R1.T2.A2","WU001","Which word has 2 syllables?","choice","1",""
"18","Q16","R1.T3.A2","WU002","Say 'fled' without the /l/ sound. What word do you get?","choice","2",""
"18","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'shrink'?","choice","2",""
"18","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"18","Q19","R4.T2.A2","WU005","What does the word 'hoarse' mean in this sentence?","choice","4",""
"18","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"18","Q21","R4.T3.A2","WU007","Why did he trip?","choice","4",""
"18","Q22","R5.T2.A1","WU008","What does the word 'committed' mean in this context?","choice","5",""
"18","Q23","R5.T1.A2","WU009","What is the author's purpose?","choice","4",""
"18","Q24","R2.T1.A3","WU010","Which spelling is correct for /s/-/i/-/t/?","choice","2",""
"18","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"19","Q15","R1.T2.A2","WU001","Which word has 3 syllables?","choice","1",""
"19","Q16","R1.T3.A2","WU002","Say 'brat' without the /r/ sound. What word do you get?","choice","2",""
"19","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'thrill'?","choice","2",""
"19","Q18","R4.T1.A2","WU004","What did Zoe do AFTER sharpening her pencil?","choice","3",""
"19","Q19","R4.T2.A2","WU005","What does the word 'adjacent' mean in this sentence?","choice","4",""
"19","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"19","Q21","R4.T3.A2","WU007","What caused the flowers to bloom?","choice","4",""
"19","Q22","R5.T2.A1","WU008","What does the word 'raise awareness' mean in this context?","choice","5",""
"19","Q23","R5.T1.A2","WU009","What does the author want readers to do?","choice","4",""
"19","Q24","R2.T1.A3","WU010","Which spelling is correct for /h/-/i/-/t/?","choice","2",""
"19","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"20","Q15","R1.T2.A2","WU001","Which word has 1 syllable?","choice","1",""
"20","Q16","R1.T3.A2","WU002","Say 'grin' without the /r/ sound. What word do you get?","choice","2",""
"20","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'clap'?","choice","2",""
"20","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"20","Q19","R4.T2.A2","WU005","What does the word 'irresistible' mean in this sentence?","choice","4",""
"20","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"20","Q21","R4.T3.A2","WU007","Why did cars take a different route?","choice","4",""
"20","Q22","R5.T2.A1","WU008","What does the word 'innovative' mean in this context?","choice","5",""
"20","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"20","Q24","R2.T1.A3","WU010","Which spelling is correct for /p/-/i/-/g/?","choice","2",""
"20","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"21","Q15","R1.T2.A2","WU001","Which word has 2 syllables?","choice","1",""
"21","Q16","R1.T3.A2","WU002","Say 'trap' without the /r/ sound. What word do you get?","choice","2",""
"21","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'what'?","choice","2",""
"21","Q18","R4.T1.A2","WU004","What did the puppy do FIRST?","choice","3",""
"21","Q19","R4.T2.A2","WU005","What does the word 'meticulous' mean in this sentence?","choice","4",""
"21","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"21","Q21","R4.T3.A2","WU007","Why was she disqualified?","choice","4",""
"21","Q22","R5.T2.A1","WU008","What does the word 'advocates' mean in this context?","choice","5",""
"21","Q23","R5.T1.A2","WU009","What is the author's main purpose?","choice","4",""
"21","Q24","R2.T1.A3","WU010","Which spelling is correct for /r/-/e/-/d/?","choice","2",""
"21","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"22","Q15","R1.T2.A2","WU001","Which word has 4 syllables?","choice","1",""
"22","Q16","R1.T3.A2","WU002","Say 'print' without the /r/ sound. What word do you get?","choice","2",""
"22","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'graph'?","choice","2",""
"22","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"22","Q19","R4.T2.A2","WU005","What does the word 'fragile' mean in this sentence?","choice","4",""
"22","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"22","Q21","R4.T3.A2","WU007","What caused the village to be covered in ash?","choice","4",""
"22","Q22","R5.T2.A1","WU008","What does the word 'preserve' mean in this context?","choice","5",""
"22","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"22","Q24","R2.T1.A3","WU010","Which spelling is correct for /b/-/u/-/s/?","choice","2",""
"22","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"23","Q15","R1.T2.A2","WU001","Which word has 1 syllable?","choice","1",""
"23","Q16","R1.T3.A2","WU002","Say 'crab' without the /r/ sound. What word do you get?","choice","2",""
"23","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'school'?","choice","2",""
"23","Q18","R4.T1.A2","WU004","What did Mia do AFTER the toast popped up?","choice","3",""
"23","Q19","R4.T2.A2","WU005","What does the word 'fatigued' mean in this sentence?","choice","4",""
"23","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"23","Q21","R4.T3.A2","WU007","Why did she pay a fine?","choice","4",""
"23","Q22","R5.T2.A1","WU008","What does the word 'severe' mean in this context?","choice","5",""
"23","Q23","R5.T1.A2","WU009","What does the author believe schools should do?","choice","4",""
"23","Q24","R2.T1.A3","WU010","Which spelling is correct for /d/-/i/-/g/?","choice","2",""
"23","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"24","Q15","R1.T2.A2","WU001","Which word has 3 syllables?","choice","1",""
"24","Q16","R1.T3.A2","WU002","Say 'slit' without the /l/ sound. What word do you get?","choice","2",""
"24","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'there'?","choice","2",""
"24","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"24","Q19","R4.T2.A2","WU005","What does the word 'concise' mean in this sentence?","choice","4",""
"24","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"24","Q21","R4.T3.A2","WU007","What made him feel proud?","choice","4",""
"24","Q22","R5.T2.A1","WU008","What does the word 'replicate' mean in this context?","choice","5",""
"24","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"24","Q24","R2.T1.A3","WU010","Which spelling is correct for /f/-/u/-/n/?","choice","2",""
"24","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"25","Q15","R1.T2.A2","WU001","Which word has 2 syllables?","choice","1",""
"25","Q16","R1.T3.A2","WU002","Say 'prop' without the /r/ sound. What word do you get?","choice","2",""
"25","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'quit'?","choice","2",""
"25","Q18","R4.T1.A2","WU004","What happened AFTER the caterpillar made a cocoon?","choice","3",""
"25","Q19","R4.T2.A2","WU005","What does the word 'deserted' mean in this sentence?","choice","4",""
"25","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"25","Q21","R4.T3.A2","WU007","What ruined the picnic?","choice","4",""
"25","Q22","R5.T2.A1","WU008","What does the word 'implement' mean in this context?","choice","5",""
"25","Q23","R5.T1.A2","WU009","What emotion does the author want readers to feel?","choice","4",""
"25","Q24","R2.T1.A3","WU010","Which spelling is correct for /g/-/o/-/t/?","choice","2",""
"25","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"26","Q15","R1.T2.A2","WU001","Which word has 1 syllable?","choice","1",""
"26","Q16","R1.T3.A2","WU002","Say 'twin' without the /w/ sound. What word do you get?","choice","2",""
"26","Q17","R1.T3.A3","WU003","How many sounds are in 'cat'?","choice","2",""
"26","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"26","Q19","R4.T2.A2","WU005","What does the word 'shelter' mean in this sentence?","choice","4",""
"26","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"26","Q21","R4.T3.A2","WU007","Why was the match abandoned?","choice","4",""
"26","Q22","R5.T2.A1","WU008","What does the word 'scrutinises' mean in this context?","choice","5",""
"26","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"26","Q24","R2.T1.A3","WU010","Which spelling is correct for /m/-/u/-/d/?","choice","2",""
"26","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"27","Q15","R1.T2.A2","WU001","Which word has 3 syllables?","choice","1",""
"27","Q16","R1.T3.A2","WU002","Say 'bled' without the /l/ sound. What word do you get?","choice","2",""
"27","Q17","R1.T3.A3","WU003","How many sounds are in 'ship'?","choice","2",""
"27","Q18","R4.T1.A2","WU004","What did the children do LAST?","choice","3",""
"27","Q19","R4.T2.A2","WU005","What does the word 'anxious' mean in this sentence?","choice","4",""
"27","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"27","Q21","R4.T3.A2","WU007","Why did she scream?","choice","4",""
"27","Q22","R5.T2.A1","WU008","What does the word 'constrain' mean in this context?","choice","5",""
"27","Q23","R5.T1.A2","WU009","What does the author want readers to do?","choice","4",""
"27","Q24","R2.T1.A3","WU010","Which spelling is correct for /s/-/a/-/d/?","choice","2",""
"27","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"28","Q15","R1.T2.A2","WU001","Which word has 2 syllables?","choice","1",""
"28","Q16","R1.T3.A2","WU002","Say 'flab' without the /l/ sound. What word do you get?","choice","2",""
"28","Q17","R1.T3.A3","WU003","How many sounds are in 'chat'?","choice","2",""
"28","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"28","Q19","R4.T2.A2","WU005","What does the word 'swift' mean in this sentence?","choice","4",""
"28","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"28","Q21","R4.T3.A2","WU007","Why was he exhausted?","choice","4",""
"28","Q22","R5.T2.A1","WU008","What does the word 'stakeholders' mean in this context?","choice","5",""
"28","Q23","R5.T1.A2","WU009","What is the purpose of this text?","choice","4",""
"28","Q24","R2.T1.A3","WU010","Which spelling is correct for /k/-/o/-/t/?","choice","2",""
"28","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"29","Q15","R1.T2.A2","WU001","Which word has 1 syllable?","choice","1",""
"29","Q16","R1.T3.A2","WU002","Say 'swing' without the /w/ sound. What word do you get?","choice","2",""
"29","Q17","R1.T3.A3","WU003","How many sounds are in 'fox'?","choice","2",""
"29","Q18","R4.T1.A2","WU004","What did Grace do FIRST?","choice","3",""
"29","Q19","R4.T2.A2","WU005","What does the word 'monotonous' mean in this sentence?","choice","4",""
"29","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"29","Q21","R4.T3.A2","WU007","Why did she use a cloth?","choice","4",""
"29","Q22","R5.T2.A1","WU008","What does the word 'prohibits' mean in this context?","choice","5",""
"29","Q23","R5.T1.A2","WU009","What does the author want to change?","choice","4",""
"29","Q24","R2.T1.A3","WU010","Which spelling is correct for /h/-/a/-/t/?","choice","2",""
"29","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"30","Q15","R1.T2.A2","WU001","Which word has 3 syllables?","choice","1",""
"30","Q16","R1.T3.A2","WU002","Say 'prod' without the /r/ sound. What word do you get?","choice","2",""
"30","Q17","R1.T3.A3","WU003","How many sounds are in 'ring'?","choice","2",""
"30","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"30","Q19","R4.T2.A2","WU005","What does the word 'astounded' mean in this sentence?","choice","4",""
"30","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"30","Q21","R4.T3.A2","WU007","Why did the dog shake?","choice","4",""
"30","Q22","R5.T2.A1","WU008","What does the word 'corroborates' mean in this context?","choice","5",""
"30","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"30","Q24","R2.T1.A3","WU010","Which spelling is correct for /b/-/a/-/t/?","choice","2",""
"30","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"31","Q15","R1.T2.A2","WU001","Which word has 2 syllables?","choice","1",""
