domain,domain_label,ref,question,expected,difficulty,notes
"M003","Place Value","3.28","How many tens? How many ones? Fill in both boxes.","5,7","3",""
"M003","Place Value","3.29","How many tens? How many ones? Fill in both boxes.","6,3","3",""
"M003","Place Value","3.30","How many tens? How many ones? Fill in both boxes.","7,4","3",""
"M003","Place Value","3.31","How many tens? How many ones? Fill in both boxes.","8,5","3",""
"M003","Place Value","3.32","How many tens? How many ones? Fill in both boxes.","9,2","3",""
"M003","Place Value","3.33","How many tens? How many ones? Fill in both boxes.","2,4","3",""
"M003","Place Value","3.34","How many tens? How many ones? Fill in both boxes.","3,7","3",""
"M003","Place Value","3.35","How many tens? How many ones? Fill in both boxes.","4,8","3",""
"M003","Place Value","3.36","How many tens? How many ones? Fill in both boxes.","5,3","3",""
"M003","Place Value","3.37","How many tens? How many ones? Fill in both boxes.","6,7","3",""
"M003","Place Value","3.38","How many tens? How many ones? Fill in both boxes.","7,1","3",""
"M003","Place Value","3.39","How many tens? How many ones? Fill in both boxes.","8,2","3",""
"M003","Place Value","3.40","How many tens? How many ones? Fill in both boxes.","9,4","3",""
"M003","Place Value","3.41","How many tens? How many ones? Fill in both boxes.","2,6","3",""
"M003","Place Value","3.42","How many tens? How many ones? Fill in both boxes.","3,8","3",""
"M003","Place Value","3.43","How many tens? How many ones? Fill in both boxes.","4,4","3",""
"M003","Place Value","3.44","How many tens? How many ones? Fill in both boxes.","5,9","3",""
"M003","Place Value","3.45","How many tens? How many ones? Fill in both boxes.","6,4","3",""
"M003","Place Value","3.46","How many tens? How many ones? Fill in both boxes.","7,6","3",""
"M003","Place Value","3.47","How many tens? How many ones? Fill in both boxes.","8,7","3",""
"M003","Place Value","3.48","How many tens? How many ones? Fill in both boxes.","9,5","3",""
"M003","Place Value","3.49","How many tens? How many ones? Fill in both boxes.","2,2","3",""
"M003","Place Value","3.50","How many tens? How many ones? Fill in both boxes.","6,9","3",""
"M004","Addition","4.1","Work this out. Type the answer.","5","1",""
"M004","Addition","4.2","Work this out. Type the answer.","6","1",""
"M004","Addition","4.3","Work this out. Type the answer.","7","1",""
"M004","Addition","4.4","Work this out. Type the answer.","8","1",""
"M004","Addition","4.5","Work this out. Type the answer.","9","1",""
"M004","Addition","4.6","Work this out. Type the answer.","10","1",""
"M004","Addition","4.7","Work this out. Type the answer.","11","1",""
"M004","Addition","4.8","Work this out. Type the answer.","12","1",""
"M004","Addition","4.9","Work this out. Type the answer.","7","1",""
"M004","Addition","4.10","Work this out. Type the answer.","8","1",""
"M004","Addition","4.11","Work this out. Type the answer.","9","1",""
"M004","Addition","4.12","Work this out. Type the answer.","10","1",""
"M004","Addition","4.13","Work this out. Type the answer.","11","1",""
"M004","Addition","4.14","Work this out. Type the answer.","12","2",""
"M004","Addition","4.15","Work this out. Type the answer.","9","2",""
"M004","Addition","4.16","Work this out. Type the answer.","10","2",""
"M004","Addition","4.17","Work this out. Type the answer.","11","2",""
"M004","Addition","4.18","Work this out. Type the answer.","12","2",""
"M004","Addition","4.19","Work this out. Type the answer.","11","2",""
"M004","Addition","4.20","Work this out. Type the answer.","12","2",""
"M004","Addition","4.21","Work this out. Type the answer.","13","2",""
"M004","Addition","4.22","Work this out. Type the answer.","13","2",""
"M004","Addition","4.23","Work this out. Type the answer.","14","2",""
"M004","Addition","4.24","Work this out. Type the answer.","15","2",""
"M004","Addition","4.25","Work this out. Type the answer.","16","2",""
"M004","Addition","4.26","Work this out. Type the answer.","17","2",""
"M004","Addition","4.27","Work this out. Type the answer.","13","2",""
"M004","Addition","4.28","Work this out. Type the answer.","14","2",""
"M004","Addition","4.29","Work this out. Type the answer.","15","2",""
"M004","Addition","4.30","Work this out. Type the answer.","16","2",""
"M004","Addition","4.31","Work this out. Type the answer.","17","2",""
"M004","Addition","4.32","Work this out. Type the answer.","18","2",""
"M004","Addition","4.33","Work this out. Type the answer.","19","2",""
"M004","Addition","4.34","Work this out. Type the answer.","8","2",""
"M004","Addition","4.35","Work this out. Type the answer.","10","2",""
"M004","Addition","4.36","Work this out. Type the answer.","12","2",""
"M004","Addition","4.37","Work this out. Type the answer.","13","2",""
"M004","Addition","4.38","Work this out. Type the answer.","14","3",""
"M004","Addition","4.39","Work this out. Type the answer.","15","3",""
"M004","Addition","4.40","Work this out. Type the answer.","14","3",""
"M004","Addition","4.41","Work this out. Type the answer.","15","3",""
"M004","Addition","4.42","Work this out. Type the answer.","16","3",""
"M004","Addition","4.43","Work this out. Type the answer.","15","3",""
"M004","Addition","4.44","Work this out. Type the answer.","16","3",""
"M004","Addition","4.45","Work this out. Type the answer.","16","3",""
"M004","Addition","4.46","Work this out. Type the answer.","13","3",""
"M004","Addition","4.47","Work this out. Type the answer.","14","3",""
"M004","Addition","4.48","Work this out. Type the answer.","15","3",""
"M004","Addition","4.49","Work this out. Type the answer.","16","3",""
"M004","Addition","4.50","Work this out. Type the answer.","17","3",""
"M005","Subtraction","5.1","Work this out. Type the answer.","3","1",""
"M005","Subtraction","5.2","Work this out. Type the answer.","4","1",""
"M005","Subtraction","5.3","Work this out. Type the answer.","5","1",""
"M005","Subtraction","5.4","Work this out. Type the answer.","6","1",""
"M005","Subtraction","5.5","Work this out. Type the answer.","7","1",""
"M005","Subtraction","5.6","Work this out. Type the answer.","8","1",""
"M005","Subtraction","5.7","Work this out. Type the answer.","9","1",""
"M005","Subtraction","5.8","Work this out. Type the answer.","10","1",""
"M005","Subtraction","5.9","Work this out. Type the answer.","3","1",""
"M005","Subtraction","5.10","Work this out. Type the answer.","4","1",""
"M005","Subtraction","5.11","Work this out. Type the answer.","5","1",""
"M005","Subtraction","5.12","Work this out. Type the answer.","6","1",""
"M005","Subtraction","5.13","Work this out. Type the answer.","7","1",""
"M005","Subtraction","5.14","Work this out. Type the answer.","8","2",""
"M005","Subtraction","5.15","Work this out. Type the answer.","4","2",""
"M005","Subtraction","5.16","Work this out. Type the answer.","5","2",""
"M005","Subtraction","5.17","Work this out. Type the answer.","6","2",""
"M005","Subtraction","5.18","Work this out. Type the answer.","7","2",""
"M005","Subtraction","5.19","Work this out. Type the answer.","8","2",""
"M005","Subtraction","5.20","Work this out. Type the answer.","5","2",""
"M005","Subtraction","5.21","Work this out. Type the answer.","6","2",""
"M005","Subtraction","5.22","Work this out. Type the answer.","7","2",""
"M005","Subtraction","5.23","Work this out. Type the answer.","8","2",""
"M005","Subtraction","5.24","Work this out. Type the answer.","5","2",""
"M005","Subtraction","5.25","Work this out. Type the answer.","6","2",""
"M005","Subtraction","5.26","Work this out. Type the answer.","7","2",""
"M005","Subtraction","5.27","Work this out. Type the answer.","8","2",""
"M005","Subtraction","5.28","Work this out. Type the answer.","5","2",""
"M005","Subtraction","5.29","Work this out. Type the answer.","6","2",""
"M005","Subtraction","5.30","Work this out. Type the answer.","7","2",""
"M005","Subtraction","5.31","Work this out. Type the answer.","8","2",""
"M005","Subtraction","5.32","Work this out. Type the answer.","5","2",""
"M005","Subtraction","5.33","Work this out. Type the answer.","6","2",""
"M005","Subtraction","5.34","Work this out. Type the answer.","7","2",""
"M005","Subtraction","5.35","Work this out. Type the answer.","8","2",""
"M005","Subtraction","5.36","Work this out. Type the answer.","5","2",""
"M005","Subtraction","5.37","Work this out. Type the answer.","6","2",""
"M005","Subtraction","5.38","Work this out. Type the answer.","7","3",""
"M005","Subtraction","5.39","Work this out. Type the answer.","8","3",""
"M005","Subtraction","5.40","Work this out. Type the answer.","5","3",""
"M005","Subtraction","5.41","Work this out. Type the answer.","6","3",""
"M005","Subtraction","5.42","Work this out. Type the answer.","7","3",""
"M005","Subtraction","5.43","Work this out. Type the answer.","8","3",""
"M005","Subtraction","5.44","Work this out. Type the answer.","7","3",""
"M005","Subtraction","5.45","Work this out. Type the answer.","7","3",""
"M005","Subtraction","5.46","Work this out. Type the answer.","7","3",""
"M005","Subtraction","5.47","Work this out. Type the answer.","7","3",""
"M005","Subtraction","5.48","Work this out. Type the answer.","7","3",""
"M005","Subtraction","5.49","Work this out. Type the answer.","9","3",""
"M005","Subtraction","5.50","Work this out. Type the answer.","9","3",""
"M006","Multiplication","6.1","Read this. Then answer the three questions below.","3,4,12","2",""
"M006","Multiplication","6.2","Read this. Then answer the three questions below.","2,5,10","2",""
"M006","Multiplication","6.3","Read this. Then answer the three questions below.","4,3,12","2",""
"M006","Multiplication","6.4","Read this. Then answer the three questions below.","5,2,10","2",""
"M006","Multiplication","6.5","Read this. Then answer the three questions below.","3,6,18","2",""
"M006","Multiplication","6.6","Read this. Then answer the three questions below.","4,5,20","2",""
"M006","Multiplication","6.7","Read this. Then answer the three questions below.","2,7,14","2",""
"M006","Multiplication","6.8","Read this. Then answer the three questions below.","6,3,18","2",""
"M006","Multiplication","6.9","Read this. Then answer the three questions below.","5,4,20","2",""
"M006","Multiplication","6.10","Read this. Then answer the three questions below.","3,8,24","2",""
"M006","Multiplication","6.11","Read this. Then answer the three questions below.","4,6,24","2",""
"M006","Multiplication","6.12","Read this. Then answer the three questions below.","7,2,14","2",""
"M006","Multiplication","6.13","Read this. Then answer the three questions below.","5,4,20","2",""
"M006","Multiplication","6.14","Read this. Then answer the three questions below.","6,10,60","3",""
"M006","Multiplication","6.15","Read this. Then answer the three questions below.","3,5,15","3",""
"M006","Multiplication","6.16","Read this. Then answer the three questions below.","4,9,36","3",""
"M006","Multiplication","6.17","Read this. Then answer the three questions below.","8,3,24","3",""
"M006","Multiplication","6.18","Read this. Then answer the three questions below.","2,9,18","3",""
"M006","Multiplication","6.19","Read this. Then answer the three questions below.","2,4,8","3",""
"M006","Multiplication","6.20","Read this. Then answer the three questions below.","4,2,8","3",""
"M006","Multiplication","6.21","Read this. Then answer the three questions below.","3,3,9","3",""
"M006","Multiplication","6.22","Read this. Then answer the three questions below.","2,6,12","3",""
"M006","Multiplication","6.23","Read this. Then answer the three questions below.","6,2,12","3",""
"M006","Multiplication","6.24","Read this. Then answer the three questions below.","4,4,16","3",""
"M006","Multiplication","6.25","Read this. Then answer the three questions below.","2,8,16","3",""
"M006","Multiplication","6.26","Read this. Then answer the three questions below.","3,7,21","3",""
"M006","Multiplication","6.27","Read this. Then answer the three questions below.","7,3,21","3",""
"M006","Multiplication","6.28","Read this. Then answer the three questions below.","5,5,25","3",""
"M006","Multiplication","6.29","Read this. Then answer the three questions below.","9,3,27","3",""
"M006","Multiplication","6.30","Read this. Then answer the three questions below.","3,9,27","3",""
"M006","Multiplication","6.31","Read this. Then answer the three questions below.","6,4,24","3",""
"M006","Multiplication","6.32","Read this. Then answer the three questions below.","5,6,30","3",""
"M006","Multiplication","6.33","Read this. Then answer the three questions below.","6,5,30","3",""
"M006","Multiplication","6.34","Read this. Then answer the three questions below.","7,4,28","3",""
"M006","Multiplication","6.35","Read this. Then answer the three questions below.","4,7,28","3",""
"M006","Multiplication","6.36","Read this. Then answer the three questions below.","8,4,32","3",""
"M006","Multiplication","6.37","Read this. Then answer the three questions below.","4,8,32","3",""
"M006","Multiplication","6.38","Read this. Then answer the three questions below.","7,5,35","4",""
"M006","Multiplication","6.39","Read this. Then answer the three questions below.","5,7,35","4",""
"M006","Multiplication","6.40","Read this. Then answer the three questions below.","9,4,36","4",""
"M006","Multiplication","6.41","Read this. Then answer the three questions below.","8,5,40","4",""
"M006","Multiplication","6.42","Read this. Then answer the three questions below.","5,8,40","4",""
"M006","Multiplication","6.43","Read this. Then answer the three questions below.","9,5,45","4",""
"M006","Multiplication","6.44","Read this. Then answer the three questions below.","6,7,42","4",""
"M006","Multiplication","6.45","Read this. Then answer the three questions below.","7,6,42","4",""
"M006","Multiplication","6.46","Read this. Then answer the three questions below.","8,6,48","4",""
"M006","Multiplication","6.47","Read this. Then answer the three questions below.","6,9,54","4",""
"M006","Multiplication","6.48","Read this. Then answer the three questions below.","9,6,54","4",""
"M006","Multiplication","6.49","Read this. Then answer the three questions below.","7,8,56","4",""
"M006","Multiplication","6.50","Read this. Then answer the three questions below.","8,9,72","4",""
"M007","Decomposition / Division Intro","7.1","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","123","2",""
"M007","Decomposition / Division Intro","7.2","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","234","2",""
"M007","Decomposition / Division Intro","7.3","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","345","2",""
"M007","Decomposition / Division Intro","7.4","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","456","2",""
"M007","Decomposition / Division Intro","7.5","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","567","2",""
"M007","Decomposition / Division Intro","7.6","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","678","2",""
"M007","Decomposition / Division Intro","7.7","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","789","2",""
"M007","Decomposition / Division Intro","7.8","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","135","2",""
"M007","Decomposition / Division Intro","7.9","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","246","2",""
"M007","Decomposition / Division Intro","7.10","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","357","2",""
"M007","Decomposition / Division Intro","7.11","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","468","2",""
"M007","Decomposition / Division Intro","7.12","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","579","2",""
"M007","Decomposition / Division Intro","7.13","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","124","2",""
"M007","Decomposition / Division Intro","7.14","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","235","2",""
"M007","Decomposition / Division Intro","7.15","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","346","2",""
"M007","Decomposition / Division Intro","7.16","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","457","2",""
"M007","Decomposition / Division Intro","7.17","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","568","2",""
"M007","Decomposition / Division Intro","7.18","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","132","2",""
"M007","Decomposition / Division Intro","7.19","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","243","2",""
"M007","Decomposition / Division Intro","7.20","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","354","2",""
"M007","Decomposition / Division Intro","7.21","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","465","2",""
"M007","Decomposition / Division Intro","7.22","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","576","2",""
"M007","Decomposition / Division Intro","7.23","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","143","2",""
"M007","Decomposition / Division Intro","7.24","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","254","2",""
"M007","Decomposition / Division Intro","7.25","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","365","2",""
"M007","Decomposition / Division Intro","7.26","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","476","3",""
"M007","Decomposition / Division Intro","7.27","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","152","3",""
"M007","Decomposition / Division Intro","7.28","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","263","3",""
"M007","Decomposition / Division Intro","7.29","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","374","3",""
"M007","Decomposition / Division Intro","7.30","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","485","3",""
"M007","Decomposition / Division Intro","7.31","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","161","3",""
"M007","Decomposition / Division Intro","7.32","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","272","3",""
"M007","Decomposition / Division Intro","7.33","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","383","3",""
"M007","Decomposition / Division Intro","7.34","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","494","3",""
"M007","Decomposition / Division Intro","7.35","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","174","3",""
"M007","Decomposition / Division Intro","7.36","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","285","3",""
"M007","Decomposition / Division Intro","7.37","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","396","3",""
"M007","Decomposition / Division Intro","7.38","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","183","3",""
"M007","Decomposition / Division Intro","7.39","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","294","3",""
"M007","Decomposition / Division Intro","7.40","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","192","3",""
"M007","Decomposition / Division Intro","7.41","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","213","3",""
"M007","Decomposition / Division Intro","7.42","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","324","3",""
"M007","Decomposition / Division Intro","7.43","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","435","3",""
"M007","Decomposition / Division Intro","7.44","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","546","3",""
"M007","Decomposition / Division Intro","7.45","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","657","3",""
"M007","Decomposition / Division Intro","7.46","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","768","3",""
"M007","Decomposition / Division Intro","7.47","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","879","3",""
"M007","Decomposition / Division Intro","7.48","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","147","3",""
"M007","Decomposition / Division Intro","7.49","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","258","3",""
"M007","Decomposition / Division Intro","7.50","This number can be split in different ways. Write it two different ways using hundreds, tens, and ones.","369","3",""
"M008","Fractions","8.1","How many equal parts is the whole cut into? How many parts are selected?","2,1","3",""
"M008","Fractions","8.2","How many equal parts is the whole cut into? How many parts are selected?","3,1","3",""
"M008","Fractions","8.3","How many equal parts is the whole cut into? How many parts are selected?","4,1","3",""
"M008","Fractions","8.4","How many equal parts is the whole cut into? How many parts are selected?","5,1","3",""
"M008","Fractions","8.5","How many equal parts is the whole cut into? How many parts are selected?","6,1","3",""
"M008","Fractions","8.6","How many equal parts is the whole cut into? How many parts are selected?","7,1","3",""
"M008","Fractions","8.7","How many equal parts is the whole cut into? How many parts are selected?","8,1","3",""
"M008","Fractions","8.8","How many equal parts is the whole cut into? How many parts are selected?","3,2","3",""
"M008","Fractions","8.9","How many equal parts is the whole cut into? How many parts are selected?","5,2","3",""
"M008","Fractions","8.10","How many equal parts is the whole cut into? How many parts are selected?","7,2","3",""
"M008","Fractions","8.11","How many equal parts is the whole cut into? How many parts are selected?","4,3","3",""
"M008","Fractions","8.12","How many equal parts is the whole cut into? How many parts are selected?","5,3","3",""
"M008","Fractions","8.13","How many equal parts is the whole cut into? How many parts are selected?","7,3","3",""
"M008","Fractions","8.14","How many equal parts is the whole cut into? How many parts are selected?","8,3","3",""
"M008","Fractions","8.15","How many equal parts is the whole cut into? How many parts are selected?","5,4","3",""
"M008","Fractions","8.16","How many equal parts is the whole cut into? How many parts are selected?","7,4","3",""
"M008","Fractions","8.17","How many equal parts is the whole cut into? How many parts are selected?","6,5","3",""
